"","species","range","lat_poleward","abund","bleach","restore","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","clipperton","species_n"
"222","Hydnophora pilosa",0.252055438571021,0.823072762225448,0.5,0.7823,0.166666666666667,3,3,3,3,5,1,5,0,"Species 204"
"223","Hydnophora rigida",0.516725343052381,0.850498492568555,1,0.7438,1,5,3,4,2,4,3,4,0,"Species 205"
"224","Isopora brueggemanni",0.634202708577319,0.799471868661081,1,0.7042,1,5,1,3,2,5,4,5,0,"Species 206"
"225","Isopora cuneata",0.428216796700288,0.857797185293682,1,0.8104,0.5,2,1,1,4,1,2,1,0,"Species 207"
"226","Isopora elizabethensis",0.00500341592460746,0.866659816641798,1,0.6506,1,5,1,3,2,5,4,5,0,"Species 208"
"227","Isopora palifera",0.575650874744921,0.850534177348029,1,0.5915,1,5,1,3,3,5,4,5,0,"Species 209"
"228","Leptastrea bewickensis",0.401446957166569,0.717765233322247,0.1,0.8317,0.5,1,2,2,3,1,2,1,0,"Species 210"
"229","Leptastrea inaequalis",0.474597222695891,0.793924239935504,0.5,0.8317,0.833333333333333,2,2,1,2,4,1,1,0,"Species 211"
"230","Leptastrea pruinosa",0.536050715861385,0.799266400903151,0.5,0.9285,0.5,1,2,1,3,1,2,1,0,"Species 212"
"231","Leptastrea purpurea",0.81094191462125,0.855509027377483,1,0.8427,0.5,1,3,2,3,1,2,1,0,"Species 213"
"232","Leptastrea transversa",0.794849003745717,0.818044706784077,0.5,0.8373,0.5,1,3,1,4,1,2,1,0,"Species 214"
"233","Leptoria irregularis",0.18385263693237,0.810659760947999,0.5,0.3388,0.5,1,3,3,3,1,2,1,0,"Species 215"
"234","Leptoria phrygia",0.715290589274123,0.857282323895171,1,0.5399,0.833333333333333,2,2,2,3,4,1,1,0,"Species 216"
"235","Leptoseris explanata",0.585344284735145,0.835756308458312,0.5,0.7852,0.666666666666667,3,2,2,5,2,4,2,0,"Species 217"
"236","Leptoseris foliosa",0.41567927698544,0.748652135185907,0.5,0.7852,0.666666666666667,3,1,2,5,2,4,2,0,"Species 218"
"237","Leptoseris gardineri",0.347413098008077,0.599003624552341,0.5,0.285,0.666666666666667,3,2,5,5,2,4,2,0,"Species 219"
"238","Leptoseris hawaiiensis",0.790867730269048,0.796299537703108,0.5,0.7852,0.5,1,2,1,4,1,2,1,0,"Species 220"
"239","Leptoseris mycetoseroides",0.79851433801073,0.778034700087926,1,0.7852,0.666666666666667,3,2,3,5,2,4,2,0,"Species 221"
"240","Leptoseris papyracea",0.623800886856064,0.646105067225441,0.5,0.285,0.666666666666667,3,2,2,5,2,4,2,0,"Species 222"
"241","Leptoseris scabra",0.824071876577049,0.828509932681388,0.5,0.7852,0.5,1,3,1,4,1,2,1,1,"Species 223"
"242","Leptoseris solida",0.491791044250385,0.79155341624369,0.5,0.7852,0.5,1,2,1,4,1,2,1,0,"Species 224"
"243","Leptoseris yabei",0.444521417028107,0.756593368856714,0.5,0.8074,0.666666666666667,3,2,2,5,2,4,2,0,"Species 225"
"244","Lithophyllon concinna",0.714440331173686,0.741089756327067,1,0.9367,0.833333333333333,2,5,1,3,4,1,1,0,"Species 226"
"247","Lobactis scutaria",0.744339750322481,0.809743802864542,1,0.9725,0.833333333333333,2,5,1,3,4,1,1,0,"Species 227"
"248","Lobophyllia corymbosa",0.605873086928192,0.789152427374764,1,0.5717,0.833333333333333,1,5,3,4,4,1,1,0,"Species 228"
"249","Lobophyllia diminuta",0.279927738930142,0.741505024857563,0.5,0.6013,0.833333333333333,1,5,1,4,4,1,1,0,"Species 229"
"250","Lobophyllia flabelliformis",0.128835177587579,0.610025189243645,0.5,0.7846,0.833333333333333,1,5,4,4,4,1,1,0,"Species 230"
"251","Lobophyllia hataii",0.487823791044768,0.820792018266908,0.5,0.6425,0.833333333333333,1,5,1,4,4,1,1,0,"Species 231"
"252","Lobophyllia hemprichii",0.677850540425744,0.811499252807433,1,0.4958,0.833333333333333,1,5,5,4,4,1,1,0,"Species 232"
"253","Lobophyllia robusta",0.3488863196451,0.685490185068488,0.5,0.96,0.833333333333333,1,5,3,4,4,1,1,0,"Species 233"
"254","Madracis kirbyi",0.391025058984991,0.642239603110847,0.1,0.8994,0.333333333333333,3,2,3,4,3,4,3,0,"Species 234"
"255","Merulina ampliata",0.649622062885253,0.852830563339233,1,0.4136,0.666666666666667,3,3,3,4,2,4,2,0,"Species 235"
"256","Merulina scabricula",0.477224468776747,0.856486425840902,1,0.9091,0.666666666666667,3,2,3,4,2,4,2,0,"Species 236"
"257","Merulina triangularis",0.207509129254508,0.853731966274839,0.5,0.5293,1,4,3,4,2,4,3,4,0,"Species 237"
"260","Montipora aequituberculata",0.731503256971226,0.844546359287934,1,0.8439,0.666666666666667,4,1,2,5,2,4,2,0,"Species 238"
"261","Montipora angulata",0.383425678709352,0.850870888109002,0.1,0.6519,1,5,1,3,2,4,3,4,0,"Species 239"
"262","Montipora australiensis",0.326016908168066,0.747626137831217,0.1,0.6519,0.166666666666667,4,1,2,3,5,1,5,0,"Species 240"
"263","Montipora caliculata",0.460586786492592,0.842066617182545,0.5,0.6024,0.833333333333333,3,1,2,3,4,1,1,0,"Species 241"
"264","Montipora capitata",0.330003291286707,0.611688194894113,0.5,0.8625,0.5,4,1,2,3,2,3,2,0,"Species 242"
"265","Montipora capricornis",0.266432979878006,0.844512247845006,1,0.6519,0.666666666666667,4,1,2,5,2,4,2,0,"Species 243"
"266","Montipora cebuensis",0.244914074048917,0.610709942432184,0.5,0.6519,0.666666666666667,4,1,2,5,2,4,2,0,"Species 244"
"267","Montipora confusa",0.111550032687575,0.607775185538759,0.5,0.6519,0.5,4,1,2,3,2,3,2,0,"Species 245"
"268","Montipora corbettensis",0.253091645914291,0.622448970498248,0.5,0.6519,0.333333333333333,4,1,3,3,3,4,3,0,"Species 246"
"269","Montipora crassituberculata",0.429018208650533,0.837175355365262,0.5,0.8413,0.666666666666667,4,1,2,5,2,4,2,0,"Species 247"
"270","Montipora danae",0.617426247401615,0.851360014093787,1,0.2735,0.666666666666667,4,1,2,5,2,4,2,0,"Species 248"
"271","Montipora digitata",0.530775883213404,0.779458468481593,1,0.8148,1,4,1,3,2,5,4,5,0,"Species 249"
"272","Montipora efflorescens",0.680584141817631,0.820055939743311,1,0.6519,0.833333333333333,3,1,2,3,4,1,1,0,"Species 250"
"273","Montipora effusa",0.360108218730878,0.690437507001268,0.5,0.6519,0.833333333333333,3,1,2,3,3,1,1,0,"Species 251"
"274","Montipora floweri",0.547950932341332,0.837175355365262,0.5,0.6519,0.833333333333333,3,1,2,3,3,1,1,0,"Species 252"
"275","Montipora foliosa",0.630138257840885,0.845490500306935,1,0.8058,0.666666666666667,4,1,3,5,2,4,2,0,"Species 253"
"276","Montipora foveolata",0.506592432770701,0.832284093794159,0.5,0.7007,0.833333333333333,3,2,2,3,4,1,1,0,"Species 254"
"277","Montipora grisea",0.507042864307513,0.740817501651372,1,0.7138,0.833333333333333,3,1,2,3,4,1,1,0,"Species 255"
"278","Montipora hispida",0.581285353828487,0.857229528126819,1,0.3842,0.5,4,1,2,3,2,3,2,0,"Species 256"
"279","Montipora hoffmeisteri",0.453092068023503,0.832284093794159,1,0.7687,0.5,2,1,1,4,1,2,1,0,"Species 257"
"280","Montipora incrassata",0.409302367946297,0.815164678172207,0.5,0.6519,0.5,2,1,1,4,1,2,1,0,"Species 258"
"281","Montipora informis",0.641379393280827,0.835707976918549,1,0.2715,0.833333333333333,3,1,2,3,4,1,1,0,"Species 259"
"282","Montipora millepora",0.574402859608136,0.837175355365262,1,0.6519,0.5,2,1,1,4,1,2,1,0,"Species 260"
"283","Montipora mollis",0.668879045393281,0.882664088444263,1,0.4754,0.833333333333333,3,1,2,3,4,1,1,0,"Species 261"
"284","Montipora monasteriata",0.605567332939313,0.846957878753648,1,0.6857,0.666666666666667,4,1,2,5,2,4,2,0,"Species 262"
"285","Montipora nodosa",0.434856959339209,0.832284093794159,0.5,0.6519,0.833333333333333,3,1,2,3,4,1,1,0,"Species 263"
"286","Montipora peltiformis",0.572289813119668,0.834240598471836,0.5,0.5468,0.833333333333333,3,1,2,3,3,1,1,0,"Species 264"
"287","Montipora samarensis",0.232368418648401,0.63516625053388,1,0.6519,1,5,1,3,2,5,4,5,0,"Species 265"
"288","Montipora spongodes",0.507496970711666,0.857718654357783,0.5,0.3909,0.5,2,1,1,4,1,2,1,0,"Species 266"
"289","Montipora spumosa",0.610051291777108,0.841538360882645,1,0.6519,0.5,2,1,1,4,1,2,1,0,"Species 267"
"290","Montipora stellata",0.262176338398041,0.739839249189443,1,0.6519,0.333333333333333,4,1,3,3,3,4,3,0,"Species 268"
"291","Montipora tuberculosa",0.753106778053905,0.846957878753648,1,0.7057,0.833333333333333,3,1,2,3,4,1,1,0,"Species 269"
"292","Montipora turgescens",0.686690854127465,0.830816715347446,1,0.6519,0.833333333333333,3,1,2,3,4,1,1,0,"Species 270"
"293","Montipora turtlensis",0.233643685105188,0.842555743167329,1,0.6519,0.333333333333333,4,1,3,2,3,4,3,0,"Species 271"
"294","Montipora undata",0.472659696710922,0.844023121614042,1,0.5655,0.666666666666667,4,1,2,5,2,4,2,0,"Species 272"
"295","Montipora venosa",0.67318760060514,0.865747681241783,0.5,0.8362,0.833333333333333,3,1,2,3,4,1,1,0,"Species 273"
"296","Montipora verrucosa",0.760682169664101,0.842066617182545,1,0.9725,0.666666666666667,4,1,3,5,2,4,2,0,"Species 274"
"297","Moseleya latistellata",0.134099032472831,0.750063358737814,0.5,0.96,0.833333333333333,1,5,1,4,3,1,1,0,"Species 275"
"298","Mycedium elephantotus",0.624181306032787,0.810068681967291,1,0.8615,0.666666666666667,3,3,4,4,2,4,2,0,"Species 276"
"299","Mycedium mancaoi",0.346516192156386,0.656367527190605,0.5,0.8943,0.666666666666667,3,3,3,4,2,4,2,0,"Species 277"
"301","Oulophyllia bennettae",0.416339906250753,0.798738848678125,0.5,0.4801,0.833333333333333,2,4,2,1,4,1,1,0,"Species 278"
"302","Oulophyllia crispa",0.610529838676358,0.83722239938349,0.5,0.7757,0.833333333333333,3,3,2,1,4,1,1,0,"Species 279"
"303","Oxypora glabra",0.262650917898547,0.841885929167481,1,0.9528,0.666666666666667,1,3,2,5,2,4,2,0,"Species 280"
"304","Oxypora lacera",0.617743141312405,0.813643127318437,1,0.9306,0.666666666666667,1,3,2,5,2,4,2,0,"Species 281"
"305","Pachyseris rugosa",0.484425438207831,0.685916388669555,1,0.7828,0.666666666666667,1,2,5,5,2,4,2,0,"Species 282"
"306","Pachyseris speciosa",0.653744679031089,0.848711680275086,1,0.6072,0.666666666666667,1,2,4,5,2,4,2,0,"Species 283"
"307","Palauastrea ramosa",0.207863865352663,0.848711680275086,0.5,0.945,1,3,1,2,4,4,3,4,0,"Species 284"
"311","Pavona bipartita",0.477876810638827,0.672353365032731,0.5,0.6213,0.833333333333333,2,2,2,3,3,1,1,0,"Species 285"
"312","Pavona cactus",0.655725698682715,0.772475836444508,1,0.685,0.333333333333333,4,1,5,2,3,5,2,0,"Species 286"
"313","Pavona clavus",0.730440390951445,0.846266384171279,1,0.5544,0.166666666666667,3,2,5,3,5,1,5,0,"Species 287"
"314","Pavona decussata",0.665578574685414,0.778034700087926,1,0.9457,0.333333333333333,3,2,1,3,3,5,2,0,"Species 288"
"315","Pavona duerdeni",0.889509586031131,0.836670597441193,0.5,0.524,0.833333333333333,3,2,2,3,4,1,1,0,"Species 289"
"316","Pavona explanulata",0.746778989004255,0.798170101672287,1,0.9659,0.666666666666667,3,2,2,5,2,4,2,0,"Species 290"
"317","Pavona maldivensis",0.890563325579969,0.7979325281001,1,0.9607,0.166666666666667,3,2,1,4,5,1,5,1,"Species 291"
"318","Pavona minuta",0.326304444574287,0.605076814152715,0.5,0.3675,0.833333333333333,2,2,5,3,3,1,1,1,"Species 292"
"319","Pavona varians",0.892440824525977,0.785490865313136,1,0.7615,0.5,1,3,1,4,1,2,1,1,"Species 293"
"320","Pavona venosa",0.557664933551612,0.792222779980271,0.5,0.8602,0.5,1,3,1,4,1,2,1,0,"Species 294"
"321","Pectinia alcicornis",0.352068149917216,0.844290918708008,0.5,0.9631,0.333333333333333,3,4,3,2,3,4,3,0,"Species 295"
"322","Pectinia elongata",0.218446720605344,0.59993186849617,0.5,0.4106,1,4,3,4,2,4,3,4,0,"Species 296"
"323","Pectinia lactuca",0.462090859548549,0.724281991077994,1,0.3119,0.5,1,5,2,4,1,2,1,0,"Species 297"
"324","Pectinia paeonia",0.417271532578894,0.844290918708008,1,0.5476,0.666666666666667,3,5,2,5,2,4,2,0,"Species 298"
"325","Physogyra lichtensteini",0.573594993846064,0.871048011545611,1,0.285,0.833333333333333,1,4,2,3,4,1,1,0,"Species 299"
"326","Platygyra contorta",0.332525405870016,0.623976991701639,0.5,0.6443,0.833333333333333,2,2,2,2,4,1,1,0,"Species 300"
"327","Platygyra daedalea",0.701535991046257,0.855147020141769,1,0.5464,0.833333333333333,3,3,3,3,4,1,1,0,"Species 301"
"328","Platygyra lamellina",0.604581950720659,0.82968323333165,0.5,0.6041,0.833333333333333,2,3,3,3,4,1,1,0,"Species 302"
"329","Platygyra pini",0.539351371101842,0.824869532254785,0.5,0.6168,0.833333333333333,2,3,2,3,4,1,1,0,"Species 303"
"330","Platygyra ryukyuensis",0.439892701460556,0.780013519261691,0.5,0.8568,0.833333333333333,2,2,2,2,4,1,1,0,"Species 304"
"331","Platygyra sinensis",0.690314008417166,0.822306552743761,0.5,0.5995,0.833333333333333,2,3,3,2,4,1,1,0,"Species 305"
"332","Platygyra verweyi",0.206605203090479,0.758867002397565,0.5,0.6509,0.833333333333333,2,2,2,2,4,1,1,0,"Species 306"
"333","Plerogyra sinuosa",0.63268563973329,0.821623424097212,0.5,0.285,0.833333333333333,1,5,2,3,4,1,1,0,"Species 307"
"334","Plesiastrea versipora",0.773558676627916,0.998255943514887,0.5,1,0.833333333333333,1,2,4,3,4,1,1,0,"Species 308"
"337","Pleuractis paumotensis",0.703440071979232,0.805705329336072,1,1,0.833333333333333,2,5,1,3,1,1,1,0,"Species 309"
"338","Pocillopora damicornis",0.922976133786728,0.875295709785387,1,0.5771,1,4,1,4,4,4,3,4,0,"Species 310"
"339","Pocillopora danae",0.174346269049903,0.804797558707916,0.5,0.6016,1,2,1,2,4,5,4,5,0,"Species 311"
"340","Pocillopora eydouxi",0.857382842383293,0.875724765382053,1,0.7815,1,4,1,2,4,5,4,5,0,"Species 312"
"341","Pocillopora kelleheri",0.128154275127564,0.581276156329258,0.5,0.6463,1,3,1,2,4,5,4,5,0,"Species 313"
"342","Pocillopora meandrina",0.666100579424791,0.710805123557191,1,0.6723,1,3,1,2,2,4,3,4,1,"Species 314"
"343","Pocillopora verrucosa",0.904775383627089,0.856782428518974,1,0.7418,1,4,1,1,3,4,3,4,0,"Species 315"
"344","Pocillopora woodjonesi",0.441912018322436,0.725687132998541,0.5,0.6463,1,3,1,2,3,5,4,5,0,"Species 316"
"345","Podabacia crustacea",0.604879759527548,0.838013116086754,0.5,0.9459,0.5,1,2,3,4,1,2,1,0,"Species 317"
"346","Podabacia motuporensis",0.419265243648856,0.700705023257983,0.5,0.9727,0.5,1,2,1,4,1,2,1,0,"Species 318"
"348","Porites annae",0.37300984928229,0.797636748707311,1,0.9443,0.333333333333333,3,1,2,2,3,4,3,0,"Species 319"
"349","Porites australiensis",0.647812478006989,0.844187259438325,1,0.695,0.833333333333333,3,1,2,2,4,1,1,0,"Species 320"
"350","Porites cylindrica",0.536437875462174,0.791085070314892,1,0.7105,0.5,3,1,5,2,2,3,2,0,"Species 321"
"351","Porites deformis",0.246982384676676,0.619047188678042,0.5,0.695,0.333333333333333,3,1,2,1,3,4,3,0,"Species 322"
"352","Porites densa",0.199158319996143,0.608957827736284,1,0.695,0.833333333333333,2,1,1,2,4,1,1,0,"Species 323"
"353","Porites heronensis",0.163045559195069,0.803280444756752,0.1,0.7679,0.166666666666667,3,1,2,2,5,1,5,0,"Species 324"
"354","Porites lichen",0.90114482747251,0.851142516256531,1,0.8421,0.666666666666667,3,1,2,3,2,4,2,0,"Species 325"
"355","Porites lobata",0.949621654016281,0.837947993099785,1,0.6421,0.833333333333333,2,1,5,2,4,1,1,1,"Species 326"
"356","Porites lutea",0.884004651317435,0.853805645002428,1,0.7542,0.833333333333333,3,1,4,2,4,1,1,1,"Species 327"
"357","Porites mayeri",0.261939887092428,0.81043776638639,1,0.8831,0.833333333333333,3,1,4,1,4,1,1,0,"Species 328"
"358","Porites monticulosa",0.533906213212547,0.72608959352083,0.5,0.695,0.5,1,1,2,3,1,2,1,0,"Species 329"
"359","Porites murrayensis",0.541025273902631,0.833116498869187,1,0.695,0.833333333333333,2,1,1,2,4,1,1,0,"Species 330"
"360","Porites myrmidonensis",0.0364216212356505,0.609644505314086,0.5,0.695,0.833333333333333,2,1,4,2,4,1,1,0,"Species 331"
"361","Porites nigrescens",0.547110612208697,0.788878385432081,1,0.5867,1,3,1,2,1,4,3,4,0,"Species 332"
"362","Porites rus",0.777834758050193,0.726756400677842,1,0.9272,0.333333333333333,3,1,5,1,3,4,3,0,"Species 333"
"363","Porites solida",0.789423297481299,0.846650515852101,1,0.6425,0.833333333333333,3,1,2,1,4,1,1,0,"Species 334"
"364","Porites stephensoni",0.359037555196717,0.696277996409247,0.5,1,0.833333333333333,2,1,1,2,4,1,1,0,"Species 335"
"365","Porites vaughani",0.458561569520497,0.713906429854434,1,0.7595,0.5,1,1,1,3,1,2,1,0,"Species 336"
"366","Psammocora contigua",0.683319336763174,0.871048011545611,1,0.7158,0.166666666666667,4,1,1,5,5,1,5,0,"Species 337"
"367","Psammocora digitata",0.590190951411447,0.831680712459017,0.5,0.5858,0.166666666666667,4,2,1,5,5,1,5,0,"Species 338"
"368","Psammocora haimiana",0.686915785178805,0.849846689591761,0.5,0.62,0.833333333333333,4,2,1,4,3,1,1,0,"Species 339"
"369","Psammocora profundacella",0.892607434192704,0.853975998872365,1,0.62,0.5,3,2,1,4,3,1,1,0,"Species 340"
"370","Psammocora verrilli",0.692651479868299,0.724006558218165,0.1,0.62,0.833333333333333,3,2,1,4,4,1,1,0,"Species 341"
"372","Sandalolitha robusta",0.498569010831943,0.823225166371157,1,0.9974,0.833333333333333,2,2,1,3,4,1,1,0,"Species 342"
"373","Scapophyllia cylindrica",0.387692025907745,0.860219357215297,0.5,0.8367,0.166666666666667,3,2,3,3,5,1,5,0,"Species 343"
"374","Seriatopora caliendrum",0.537109515154666,0.810382067909352,0.5,0.3418,1,5,1,3,4,4,3,4,0,"Species 344"
"375","Seriatopora hystrix",0.593104532567484,0.798926719241625,1,0.3854,1,4,1,2,5,4,3,4,0,"Species 345"
"377","Stylocoeniella armata",0.576634170353794,0.812976128387185,0.1,0.285,0.5,1,2,1,5,1,2,1,0,"Species 346"
"378","Stylocoeniella guentheri",0.670796319783311,0.812976128387185,0.5,0.285,0.333333333333333,3,1,1,4,3,4,3,0,"Species 347"
"379","Stylophora pistillata",0.699377346160397,0.865747681241783,1,0.4358,1,3,1,2,3,4,3,4,0,"Species 348"
"380","Symphyllia agaricia",0.556189308317904,0.826336253893189,0.5,0.8988,0.833333333333333,1,5,1,4,4,1,1,0,"Species 349"
"381","Symphyllia radians",0.481676095884939,0.830645073463613,1,0.8769,0.833333333333333,1,5,2,4,4,1,1,0,"Species 350"
"382","Symphyllia recta",0.536415191090102,0.842163671195953,1,0.8843,0.833333333333333,1,4,2,4,4,1,1,0,"Species 351"
"383","Symphyllia valenciennesii",0.571211592939635,0.842016248995427,0.5,0.9489,0.5,1,5,1,4,1,2,1,0,"Species 352"
"385","Turbinaria bifrons",0.152098809046338,0.801502005292143,0.5,0.285,0.666666666666667,2,1,3,2,2,4,2,0,"Species 353"
"386","Turbinaria conspicua",0.0578539853978787,0.751811169714501,0.1,0.6813,0.666666666666667,2,1,3,2,2,4,2,0,"Species 354"
"387","Turbinaria frondens",0.593281583746483,0.996292835304195,1,0.6813,0.666666666666667,3,1,4,2,2,4,2,0,"Species 355"
"388","Turbinaria heronensis",0.0654422129475162,0.81581931443492,0.1,0.6813,0.666666666666667,2,2,3,2,2,4,2,0,"Species 356"
"389","Turbinaria mesenterina",0.701682334527821,0.923339974691088,1,0.7913,0.666666666666667,3,2,4,2,2,4,2,0,"Species 357"
"390","Turbinaria patula",0.315174620760186,0.831411016824692,0.5,0.6813,0.666666666666667,2,2,3,2,2,4,2,0,"Species 358"
"391","Turbinaria radicalis",0.166607652653121,0.834756285065793,0.1,0.6813,0.5,1,2,2,2,1,2,1,0,"Species 359"
"392","Turbinaria reniformis",0.696870478984666,0.921458353053687,1,0.6813,0.666666666666667,2,2,5,2,2,4,2,0,"Species 360"
"393","Turbinaria stellulata",0.545632987439252,0.842270412147199,0.5,0.6813,0.833333333333333,1,2,2,2,4,1,1,0,"Species 361"
