"","master_species","family_molecules","Age.at.maturity","Calcification.rate","Chlorophyll.a","Coloniality","Corallite.width.maximum","Gross.photosynthesis","Growth.form.typical","Growth.rate","Ocean.basin","Oocyte.size.at.maturity","Polyp.fecundity","Polyps.per.area","Propagule.size.on.release","Protein.biomass","Skeletal.density","Tissue.thickness","Total.biomass","Zooxanthellate","Colony.maximum.diameter","Genus","Species"
"486","Lithophyllon concinna","Fungiidae",0.602059991327962,NA,NA,"solitary",2.20411998265592,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.20411998265592,"Lithophyllon","concinna"
"487","Lithophyllon ranjithi","Fungiidae",NA,NA,NA,NA,0.462397997898956,NA,"laminar",NA,"pacific",NA,NA,1.32221929473392,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Lithophyllon","ranjithi"
"488","Lithophyllon repanda","Fungiidae",NA,NA,NA,"solitary",2.17609125905568,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Lithophyllon","repanda"
"489","Lithophyllon scabra","Fungiidae",NA,NA,NA,"solitary",1.89209460269048,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",0.89209460269048,"Lithophyllon","scabra"
"490","Lithophyllon spinifer","Fungiidae",NA,NA,NA,"solitary",2.07188200730613,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.09691001300806,"Lithophyllon","spinifer"
"491","Lithophyllon undulatum","Fungiidae",NA,NA,NA,"colonial",0.707570176097936,NA,"encrusting",NA,"pacific",NA,NA,-0.0172766123314547,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Lithophyllon","undulatum"
"492","Lobactis scutaria","Fungiidae",NA,NA,NA,"solitary",2.22788670461367,NA,"massive",0.968482948553935,"pacific",1.92220627743902,NA,NA,1.92220627743902,NA,NA,NA,NA,"zooxanthellate",1.23044892137827,"Lobactis","scutaria"
"493","Lobophyllia corymbosa","Lobophylliidae",NA,NA,NA,"colonial",1.67669360962487,NA,"massive",NA,"pacific",2.77815125038364,3.44715803134222,-1.01772876696043,2.77815125038364,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Lobophyllia","corymbosa"
"494","Lobophyllia costata","Lobophylliidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Lobophyllia","costata"
"495","Lobophyllia dentata","Lobophylliidae",NA,NA,NA,"colonial",1.51321760006794,NA,"massive",NA,"pacific",NA,NA,-0.913640169325252,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Lobophyllia","dentata"
"496","Lobophyllia diminuta","Lobophylliidae",NA,NA,NA,"colonial",1.62838893005031,NA,"massive",NA,"pacific",NA,NA,-1.67778070526608,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Lobophyllia","diminuta"
"497","Lobophyllia flabelliformis","Lobophylliidae",NA,NA,NA,"colonial",1.77451696572855,NA,"massive",NA,"pacific",NA,NA,-1.95860731484178,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Lobophyllia","flabelliformis"
"498","Lobophyllia hataii","Lobophylliidae",NA,NA,NA,"colonial",1.47712125471966,NA,"massive",NA,"pacific",NA,NA,-0.712198270069774,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Lobophyllia","hataii"
"499","Lobophyllia hemprichii","Lobophylliidae",NA,NA,NA,"colonial",1.42813479402879,NA,"massive",NA,"pacific",2.90848501887865,3.38916608436453,-1.02227639471115,2.90848501887865,NA,NA,NA,NA,"zooxanthellate",2.69897000433602,"Lobophyllia","hemprichii"
"500","Lobophyllia pachysepta","Lobophylliidae",NA,NA,NA,"colonial",1.51321760006794,NA,"massive",NA,"pacific",NA,NA,-0.943095148663527,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Lobophyllia","pachysepta"
"501","Lobophyllia robusta","Lobophylliidae",NA,NA,NA,"colonial",1.67669360962487,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Lobophyllia","robusta"
"502","Lobophyllia serrata","Lobophylliidae",NA,NA,NA,"colonial",1.60422605308447,NA,"massive",NA,"pacific",NA,NA,-1.09151498112135,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Lobophyllia","serrata"
"503","Madracis asanoi","Pocilloporidae",NA,NA,NA,"colonial",0.397940008672038,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"both",NA,"Madracis","asanoi"
"504","Madracis auretenra","Pocilloporidae",NA,NA,NA,NA,0.361727836017593,NA,"branching_closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Madracis","auretenra"
"505","Madracis carmabi","Pocilloporidae",NA,NA,NA,NA,0.255272505103306,NA,"branching_closed",NA,NA,NA,NA,1.39445168082622,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Madracis","carmabi"
"506","Madracis decactis","Pocilloporidae",NA,NA,NA,"colonial",0.342422680822206,NA,"digitate",NA,"atlantic",NA,NA,1.24843920814151,NA,NA,NA,NA,NA,"zooxanthellate",1,"Madracis","decactis"
"507","Madracis formosa","Pocilloporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"columnar",NA,"atlantic",NA,NA,1.3597975510344,NA,NA,NA,NA,NA,"zooxanthellate",1.00860017176192,"Madracis","formosa"
"508","Madracis kirbyi","Pocilloporidae",NA,NA,NA,"colonial",0.414973347970818,NA,"digitate",NA,"pacific",NA,NA,1.14671703574398,NA,NA,NA,NA,NA,"zooxanthellate",2.09691001300806,"Madracis","kirbyi"
"509","Madracis mirabilis","Pocilloporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_closed",1.34242268082221,"atlantic",NA,NA,1.51106745771002,2.49136169383427,NA,NA,NA,NA,"zooxanthellate",1.16731733474818,"Madracis","mirabilis"
"510","Madracis pharensis","Pocilloporidae",NA,NA,NA,"colonial",0.322219294733919,NA,"digitate",NA,"atlantic",NA,NA,NA,2.51851393987789,NA,NA,NA,NA,"both",NA,"Madracis","pharensis"
"511","Madracis senaria","Pocilloporidae",NA,NA,NA,"colonial",0.255272505103306,NA,"encrusting",NA,"atlantic",NA,NA,1.42396636868029,2.49136169383427,NA,NA,NA,NA,"zooxanthellate",NA,"Madracis","senaria"
"512","Manicina areolata","Mussidae",0.301029995663981,NA,NA,"colonial",1.17897694729317,NA,"massive",NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1,"Manicina","areolata"
"513","Meandrina braziliensis","Meandrinidae",NA,NA,NA,"colonial",1.12385164096709,NA,"massive",NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Meandrina","braziliensis"
"514","Meandrina danae","Meandrinidae",NA,NA,NA,NA,1.32221929473392,NA,"massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Meandrina","danae"
"515","Meandrina meandrites","Meandrinidae",NA,NA,NA,"colonial",1.13033376849501,NA,"massive",0.0611696432049054,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.21218760440396,"Meandrina","meandrites"
"516","Merulina ampliata","Merulinidae",NA,NA,0.0881360887005513,"colonial",0.792391689498254,NA,"laminar",1.35206669080519,"pacific",2.49485002168009,1.95375969173323,0.488127496247458,2.53019969820308,NA,NA,NA,NA,"zooxanthellate",NA,"Merulina","ampliata"
"517","Merulina scabricula","Merulinidae",NA,NA,NA,"colonial",0.544068044350276,NA,"laminar",NA,"pacific",NA,NA,0.602059991327962,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Merulina","scabricula"
"518","Merulina scheeri","Merulinidae",NA,NA,NA,"colonial",0.913813852383717,NA,"digitate",NA,"pacific",NA,NA,0.397940008672038,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Merulina","scheeri"
"519","Merulina triangularis","Merulinidae",NA,NA,NA,"colonial",0.944482672150169,NA,"branching_closed",NA,"pacific",2.54406804435028,NA,NA,2.54406804435028,NA,NA,NA,NA,"zooxanthellate",2.69897000433602,"Merulina","triangularis"
"520","Micromussa amakusensis","Lobophylliidae",NA,NA,NA,"colonial",1.06069784035361,NA,"encrusting",NA,"pacific",NA,NA,0.411451342137938,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Micromussa","amakusensis"
"521","Micromussa diminuta","Lobophylliidae",NA,NA,NA,"colonial",0.602059991327962,NA,"massive",NA,"pacific",NA,NA,1.06152787089051,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Micromussa","diminuta"
"522","Micromussa lordhowensis","Lobophylliidae",NA,NA,NA,"colonial",1.13033376849501,NA,"massive",NA,"pacific",2.60205999132796,2.68087917442681,0.28668096935493,2.60205999132796,NA,NA,NA,NA,"zooxanthellate",NA,"Micromussa","lordhowensis"
"523","Micromussa minuta","Lobophylliidae",NA,NA,NA,"colonial",0.806179973983887,NA,"massive",NA,"pacific",NA,NA,0.726727209026572,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Micromussa","minuta"
"524","Micromussa multipunctata","Lobophylliidae",NA,NA,NA,"colonial",0.968482948553935,NA,"encrusting",NA,"pacific",NA,NA,0.142076461073285,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Micromussa","multipunctata"
"525","Montastraea cavernosa","Montastraeidae",NA,NA,0.852784868680548,"colonial",1,NA,"massive",0.973884386200174,"atlantic",NA,2.18041263283832,0.104282207094438,NA,NA,0.204119982655925,NA,NA,"zooxanthellate",2.39794000867204,"Montastraea","cavernosa"
"526","Montigyra kenti","Euphylliidae",NA,NA,NA,"colonial",1.50514997831991,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montigyra","kenti"
"527","Montipora aequituberculata","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"laminar",NA,"pacific",2.38201704257487,1.43136376415899,1.40913816115386,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","aequituberculata"
"528","Montipora altasepta","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_open",NA,"pacific",NA,NA,1.53662156218241,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","altasepta"
"529","Montipora angulata","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"branching_closed",NA,"pacific",NA,NA,1.20145174912172,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","angulata"
"530","Montipora aspergillus","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_closed",NA,"pacific",NA,NA,1.80037335489135,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","aspergillus"
"531","Montipora australiensis","Acroporidae",NA,NA,NA,"colonial",-1,NA,"columnar",NA,"pacific",NA,NA,1.51731468566477,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","australiensis"
"532","Montipora cactus","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"columnar",NA,"pacific",NA,NA,1.34038461837014,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","cactus"
"533","Montipora calcarea","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"digitate",NA,"pacific",NA,NA,1.7445042101439,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","calcarea"
"534","Montipora caliculata","Acroporidae",NA,NA,NA,"colonial",0,NA,"massive",NA,"pacific",NA,NA,1.61875912939293,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","caliculata"
"535","Montipora capitata","Acroporidae",NA,-0.689660780201248,1.05576046468773,"colonial",0,NA,"columnar",1.41176697078763,"pacific",NA,1.1156105116743,1.96978388157435,NA,0.350248018334163,NA,NA,0.873872566514345,"zooxanthellate",NA,"Montipora","capitata"
"536","Montipora capricornis","Acroporidae",NA,NA,NA,"colonial",0,NA,"laminar",NA,"pacific",NA,1.11394335230684,1.63994444832731,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","capricornis"
"537","Montipora cebuensis","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"laminar",NA,"pacific",NA,NA,1.20027579911185,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","cebuensis"
"538","Montipora circumvallata","Acroporidae",NA,NA,NA,"colonial",-0.221848749616356,NA,"digitate",NA,"pacific",NA,NA,1.48839558362439,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","circumvallata"
"539","Montipora cocosensis","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"massive",NA,"pacific",NA,NA,1.50066177627452,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","cocosensis"
"540","Montipora confusa","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"columnar",NA,"pacific",NA,NA,1.21574328263761,NA,NA,NA,NA,NA,"zooxanthellate",2,"Montipora","confusa"
"541","Montipora corbettensis","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"digitate",NA,"pacific",NA,NA,1.27751753296917,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","corbettensis"
"542","Montipora crassituberculata","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"laminar",NA,"pacific",NA,NA,1.16858586553641,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","crassituberculata"
"543","Montipora cryptus","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"encrusting",NA,"pacific",NA,NA,1.57883396856617,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","cryptus"
"544","Montipora danae","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","danae"
"545","Montipora delicatula","Acroporidae",NA,NA,NA,"colonial",-0.221848749616356,NA,"laminar",NA,"pacific",NA,NA,1.54162915998386,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","delicatula"
"546","Montipora digitata","Acroporidae",NA,NA,0.553276046137099,"colonial",-0.0457574905606751,NA,"branching_open",1.617985302609,"pacific",2.55630250076729,NA,1.75229435028586,2.55630250076729,0.371067862271736,NA,-0.0457574905606751,NA,"zooxanthellate",NA,"Montipora","digitata"
"547","Montipora dilatata","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"digitate",NA,"pacific",NA,NA,1.51789495835757,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Montipora","dilatata"
"548","Montipora echinata","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_closed",NA,"pacific",NA,NA,1.50489203938808,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","echinata"
"549","Montipora edwardsi","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"columnar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","edwardsi"
"550","Montipora efflorescens","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"massive",NA,"pacific",NA,NA,1.72524989055857,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","efflorescens"
"551","Montipora effusa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"massive",NA,"pacific",NA,NA,1.79048220596379,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","effusa"
"552","Montipora flabellata","Acroporidae",NA,NA,NA,"colonial",-0.301029995663981,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Montipora","flabellata"
"553","Montipora florida","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"laminar",NA,"pacific",NA,NA,1.68214507637383,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","florida"
"554","Montipora floweri","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"massive",NA,"pacific",NA,NA,1.38172861853511,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","floweri"
"555","Montipora foliosa","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"laminar",1.51188336097887,"pacific",2.56820172406699,NA,1.31473073384478,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","foliosa"
"556","Montipora foveolata","Acroporidae",NA,NA,NA,"colonial",0.462397997898956,NA,"massive",NA,"pacific",NA,NA,1.34256084345083,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","foveolata"
"557","Montipora friabilis","Acroporidae",NA,NA,NA,"colonial",0,NA,"laminar",NA,"pacific",NA,NA,1.57029770441591,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","friabilis"
"558","Montipora gaimardi","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"columnar",NA,"pacific",NA,NA,1.80101246297654,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","gaimardi"
"559","Montipora granulosa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"encrusting",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","granulosa"
"560","Montipora grisea","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"massive",NA,"pacific",NA,NA,1.23653726148869,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","grisea"
"561","Montipora hemispherica","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"digitate",NA,"pacific",NA,NA,1.01565309853547,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Montipora","hemispherica"
"562","Montipora hirsuta","Acroporidae",NA,NA,NA,"colonial",-0.301029995663981,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","hirsuta"
"563","Montipora hispida","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"columnar",NA,"pacific",NA,NA,1.22081389678549,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","hispida"
"564","Montipora hodgsoni","Acroporidae",NA,NA,NA,"colonial",-0.221848749616356,NA,"laminar",NA,"pacific",NA,NA,1.24588264751726,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","hodgsoni"
"565","Montipora hoffmeisteri","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"encrusting",NA,"pacific",NA,NA,1.35550898802443,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","hoffmeisteri"
"566","Montipora incrassata","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"encrusting",NA,"pacific",NA,NA,1.4009522278609,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","incrassata"
"567","Montipora informis","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"massive",NA,"pacific",NA,NA,1.48191536510837,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","informis"
"568","Montipora kellyi","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"branching_closed",NA,"pacific",NA,NA,1.73158070770046,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","kellyi"
"569","Montipora lobulata","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"massive",NA,"pacific",NA,NA,1.27051579957436,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","lobulata"
"570","Montipora mactanensis","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"digitate",NA,"pacific",NA,NA,1.22960505984138,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","mactanensis"
"571","Montipora malampaya","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"digitate",NA,"pacific",NA,NA,1.3297232240579,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","malampaya"
"572","Montipora meandrina","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"encrusting",NA,"pacific",NA,NA,1.29216743078429,NA,NA,NA,NA,NA,"zooxanthellate",1.30102999566398,"Montipora","meandrina"
"573","Montipora millepora","Acroporidae",NA,NA,NA,"colonial",-0.221848749616356,NA,"encrusting",NA,"pacific",NA,NA,1.91592721169712,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","millepora"
"574","Montipora mollis","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"massive",NA,"pacific",NA,NA,1.7451607046539,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","mollis"
"575","Montipora monasteriata","Acroporidae",NA,NA,1.57518784492766,"colonial",0.0413926851582251,0.518513939877887,"laminar",NA,"pacific",NA,NA,1.62585754966895,NA,0.727270077199638,NA,NA,NA,"zooxanthellate",NA,"Montipora","monasteriata"
"576","Montipora niugini","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"digitate",NA,"pacific",NA,NA,1.36011986158081,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Montipora","niugini"
"577","Montipora nodosa","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"massive",NA,"pacific",NA,NA,1.40957810728864,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","nodosa"
"578","Montipora orientalis","Acroporidae",NA,NA,NA,"colonial",0,NA,"columnar",NA,"pacific",NA,NA,1.37067959582386,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","orientalis"
"579","Montipora pachytuberculata","Acroporidae",NA,NA,NA,"colonial",-0.221848749616356,NA,"branching_closed",NA,"pacific",NA,NA,1.25806231201092,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","pachytuberculata"
"580","Montipora palawanensis","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"laminar",NA,"pacific",NA,NA,0.902383684432472,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Montipora","palawanensis"
"581","Montipora patula","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"laminar",NA,"pacific",NA,NA,1.43157281858565,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Montipora","patula"
"582","Montipora peltiformis","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"massive",NA,"pacific",NA,NA,1.33669983031566,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","peltiformis"
"583","Montipora porites","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"columnar",NA,"pacific",NA,NA,1.74070998617961,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","porites"
"584","Montipora samarensis","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"branching_open",NA,"pacific",NA,NA,1.66487691983121,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","samarensis"
"585","Montipora saudii","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"columnar",NA,"pacific",NA,NA,1.68823289276054,NA,NA,NA,NA,NA,"zooxanthellate",2,"Montipora","saudii"
"586","Montipora setosa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"digitate",NA,"pacific",NA,NA,1.66653669974119,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","setosa"
"587","Montipora solanderi","Acroporidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","solanderi"
"588","Montipora spongiosa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_closed",NA,"pacific",NA,NA,1.54303692290825,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","spongiosa"
"589","Montipora spongodes","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"encrusting",NA,"pacific",NA,NA,1.51062542766484,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","spongodes"
"590","Montipora spumosa","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"encrusting",NA,"pacific",NA,1.04139268515823,1.3805006748992,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","spumosa"
"591","Montipora stellata","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"digitate",NA,"pacific",NA,NA,1.65136525189501,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","stellata"
"592","Montipora stilosa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"massive",NA,"pacific",NA,NA,1.54955498068805,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","stilosa"
"593","Montipora striata","Acroporidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","striata"
"594","Montipora taiwanensis","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"massive",NA,"pacific",NA,NA,1.5788912338891,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Montipora","taiwanensis"
"595","Montipora tortuosa","Acroporidae",NA,NA,NA,"colonial",-0.301029995663981,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","tortuosa"
"596","Montipora tuberculosa","Acroporidae",NA,NA,NA,"colonial",0,NA,"massive",NA,"pacific",2.54406804435028,NA,1.8597205701966,2.54406804435028,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","tuberculosa"
"597","Montipora turgescens","Acroporidae",NA,NA,NA,"colonial",0,NA,"massive",NA,"pacific",NA,NA,1.75410359381561,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","turgescens"
"598","Montipora turtlensis","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"digitate",NA,"pacific",NA,NA,1.88443849569279,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","turtlensis"
"599","Montipora undata","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"laminar",1.41497334797082,"pacific",NA,NA,1.43509548605829,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","undata"
"600","Montipora venosa","Acroporidae",NA,NA,NA,"colonial",0.255272505103306,NA,"massive",NA,"pacific",NA,NA,1.49569693818691,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","venosa"
"601","Montipora verrilli","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"encrusting",1.23552844690755,"pacific",NA,NA,1.69787420094872,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","verrilli"
"602","Montipora verrucosa","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"laminar",1.45846932750464,"pacific",NA,1.30102999566398,1.48066794782179,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","verrucosa"
"603","Montipora verruculosa","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"encrusting",NA,"pacific",NA,NA,1.54706054685457,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Montipora","verruculosa"
"604","Montipora vietnamensis","Acroporidae",NA,NA,NA,"colonial",-0.154901959985743,NA,"digitate",NA,"pacific",NA,NA,1.67824515192704,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Montipora","vietnamensis"
"605","Moseleya latistellata","Lobophylliidae",NA,NA,NA,"colonial",1.86332286012046,NA,"massive",NA,"pacific",NA,NA,-1.36653154442041,NA,NA,NA,NA,NA,"zooxanthellate",1.39794000867204,"Moseleya","latistellata"
