resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
10,primary,"Veron, J. E. N.",2000,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"",Includes corals of the world CD ROM
747,primary,"Sepkoski, J. J.",2002,A compendium of fossil marine animal genera,"","",Bulletins of American Paleontology,"363, 1-560",""
748,primary,"Wells, J. W.",1968,"Treatise on Invertebrate Palaeontology, Part F",monograph,"",University of Kansas Press,"",""
745,primary,"Huang, D., Roy, K.",2015,The future of evolutionary diversity in reef corals,paper,10.1098/rstb.2014.0010,Philosophical Transactions of the Royal Society B: Biological Sciences,"370, 20140010-20140010",""
201,primary,"Alroy, J., Marshall, C. R., Bambach, R. K., Bezusko, K., Foote, M., Fursich, F. T., Hansen, T. A., Holland, S. M., Ivany, L. C., Jablonski, D., Jacobs, D. K., Jones, D. C., Kosnik, M. A., Lidgard, S., Low, S., Miller, A. I., Novack Gottshall, P. M., Olszewski, T. D., Patzkowsky, M. E., Raup, D. M., Roy, K., Sepkoski, J. J., Sommers, M. G., Wagner, P. J., Webber, A.",2001,Effects of sampling standardization on estimates of Phanerozoic marine diversification,paper,10.1073/pnas.111144698,Proceedings of the National Academy of Sciences,"98, 6261-6266",""
281,secondary,"Keith, S. A., Baird, A. H., Hughes, T. P., Madin, J. S., Connolly, S. R.",2013,"Faunal breaks and species composition of Indo-Pacific corals: the role of plate tectonics, environment and habitat distribution",paper,10.1098/rspb.2013.0818,Proceedings of the Royal Society B: Biological Sciences,"280, 20130818-20130818",""
