"species"
"Acanthastrea echinata"
"Acanthastrea hemprichi"
"Acanthastrea regularis"
"Acanthastrea rotundoflora"
"Acropora abrolhosensis"
"Acropora abrotanoides"
"Acropora aculeus"
"Acropora acuminata"
"Acropora akajimensis"
"Acropora anthocercis"
"Acropora aspera"
"Acropora austera"
"Acropora azurea"
"Acropora bushyensis"
"Acropora cardenae"
"Acropora carduus"
"Acropora caroliniana"
"Acropora cerealis"
"Acropora chesterfieldensis"
"Acropora clathrata"
"Acropora cytherea"
"Acropora dendrum"
"Acropora digitifera"
"Acropora divaricata"
"Acropora donei"
"Acropora echinata"
"Acropora elseyi"
"Acropora exquisita"
"Acropora fastigata"
"Acropora florida"
"Acropora gemmifera"
"Acropora glauca"
"Acropora grandis"
"Acropora granulosa"
"Acropora horrida"
"Acropora humilis"
"Acropora hyacinthus"
"Acropora intermedia"
"Acropora kimbeensis"
"Acropora kirstyae"
"Acropora latistella"
"Acropora listeri"
"Acropora longicyathus"
"Acropora loripes"
"Acropora loveli"
"Acropora lutkeni"
"Acropora microclados"
"Acropora microphthalma"
"Acropora millepora"
"Acropora monticulosa"
"Acropora multiacuta"
"Acropora muricata"
"Acropora nana"
"Acropora nasuta"
"Acropora palmerae"
"Acropora paniculata"
"Acropora polystoma"
"Acropora prostrata"
"Acropora pulchra"
"Acropora robusta"
"Acropora rosaria"
"Acropora samoensis"
"Acropora sarmentosa"
"Acropora secale"
"Acropora selago"
"Acropora solitaryensis"
"Acropora subglabra"
"Acropora subulata"
"Acropora tenuis"
"Acropora torihalimeda"
"Acropora torihalimeda"
"Acropora torihalimeda"
"Acropora torihalimeda"
"Acropora torresiana"
"Acropora tortuosa"
"Acropora valenciennesi"
"Acropora valida"
"Acropora vaughani"
"Acropora verweyi"
"Acropora willisae"
"Acropora yongei"
"Alveopora allingi"
"Alveopora catalai"
"Alveopora fenestrata"
"Alveopora gigas"
"Alveopora marionensis"
"Alveopora spongiosa"
"Alveopora tizardi"
"Alveopora verrilliana"
"Astrea curta"
"Astreopora cucullata"
"Astreopora expansa"
"Astreopora gracilis"
"Astreopora incrustans"
"Astreopora listeri"
"Astreopora moretonensis"
"Astreopora myriophthalma"
"Astreopora ocellata"
"Astreopora scabra"
"Australogyra zelli"
"Catalaphyllia jardinei"
"Caulastraea curvata"
"Caulastraea echinulata"
"Caulastraea furcata"
"Caulastraea tumida"
"Coelastrea aspera"
"Coeloseris mayeri"
"Coscinaraea columna"
"Coscinaraea crassa"
"Coscinaraea exesa"
"Coscinaraea mcneilli"
"Ctenactis albitentaculata"
"Ctenactis crassa"
"Ctenactis echinata"
"Cycloseris costulata"
"Cycloseris curvata"
"Cycloseris cyclolites"
"Cycloseris distorta"
"Cycloseris explanulata"
"Cycloseris fragilis"
"Cycloseris mokai"
"Cycloseris sinensis"
"Cycloseris somervillei"
"Cycloseris tenuis"
"Cycloseris vaughani"
"Cycloseris wellsi"
"Cyphastrea agassizi"
"Cyphastrea chalcidicum"
"Cyphastrea decadia"
"Cyphastrea microphthalma"
"Cyphastrea ocellina"
"Cyphastrea serailia"
"Danafungia horrida"
"Diploastrea heliopora"
"Dipsastraea amicorum"
"Dipsastraea danai"
"Dipsastraea favus"
"Dipsastraea helianthoides"
"Dipsastraea laddi"
"Dipsastraea laxa"
"Dipsastraea lizardensis"
"Dipsastraea maritima"
"Dipsastraea matthaii"
"Dipsastraea maxima"
"Dipsastraea pallida"
"Dipsastraea rosaria"
"Dipsastraea rotumana"
"Dipsastraea speciosa"
"Dipsastraea truncata"
"Dipsastraea veroni"
"Dipsastraea vietnamensis"
"Echinophyllia aspera"
"Echinophyllia echinata"
"Echinophyllia echinoporoides"
"Echinophyllia orpheensis"
"Echinopora gemmacea"
"Echinopora hirsutissima"
"Echinopora horrida"
"Echinopora lamellosa"
"Echinopora mammiformis"
"Echinopora pacificus"
"Euphyllia glabrescens"
"Favites abdita"
"Favites chinensis"
"Favites colemani"
"Favites complanata"
"Favites flexuosa"
"Favites halicora"
"Favites magnistellata"
"Favites pentagona"
"Favites rotundata"
"Favites valenciennesi"
"Fungia fungites"
"Galaxea acrhelia"
"Galaxea astreata"
"Galaxea fascicularis"
"Galaxea horrescens"
"Galaxea longisepta"
"Gardineroseris planulata"
"Goniastrea edwardsi"
"Goniastrea favulus"
"Goniastrea pectinata"
"Goniastrea retiformis"
"Goniastrea stelligera"
"Goniopora columna"
"Goniopora djiboutiensis"
"Goniopora eclipsensis"
"Goniopora fruticosa"
"Goniopora lobata"
"Goniopora minor"
"Goniopora norfolkensis"
"Goniopora palmensis"
"Goniopora pandoraensis"
"Goniopora pendulus"
"Goniopora somaliensis"
"Goniopora stokesi"
"Goniopora tenuidens"
"Halomitra pileus"
"Heliofungia actiniformis"
"Herpolitha limax"
"Hydnophora exesa"
"Hydnophora grandis"
"Hydnophora microconos"
"Hydnophora pilosa"
"Hydnophora rigida"
"Isopora brueggemanni"
"Isopora cuneata"
"Isopora elizabethensis"
"Isopora palifera"
"Leptastrea bewickensis"
"Leptastrea inaequalis"
"Leptastrea pruinosa"
"Leptastrea purpurea"
"Leptastrea transversa"
"Leptoria irregularis"
"Leptoria phrygia"
"Leptoseris explanata"
"Leptoseris foliosa"
"Leptoseris gardineri"
"Leptoseris hawaiiensis"
"Leptoseris mycetoseroides"
"Leptoseris papyracea"
"Leptoseris scabra"
"Leptoseris solida"
"Leptoseris yabei"
"Lithophyllon concinna"
"Lobactis scutaria"
"Lobophyllia corymbosa"
"Lobophyllia diminuta"
"Lobophyllia flabelliformis"
